HEU:	3136071.16	3136071.16	0.0009	0.10	40	6
DFS:	3135710.10	3135710.10	0.0011	0.10	40	6
GRB:	3135702.79	3135702.71	69.45	0.10	40	6

HEU:	3135711.51	3135711.51	0.0011	0.10	40	7
DFS:	3135678.97	3135678.97	0.0013	0.10	40	7
GRB:	3135675.16	3135655.22	60.81	0.10	40	7

HEU:	3135685.68	3135685.68	0.0011	0.10	40	8
DFS:	3135676.91	3135676.91	0.0020	0.10	40	8
GRB:	3135675.14	3135645.69	69.35	0.10	40	8

HEU:	3135681.20	3135681.20	0.0011	0.10	40	9
DFS:	3135676.77	3135676.77	0.0064	0.10	40	9
GRB:	3135675.22	3135647.85	71.96	0.10	40	9

HEU:	3135680.44	3135680.44	0.0012	0.10	40	10
DFS:	3135676.76	3135676.76	0.0181	0.10	40	10
GRB:	3135675.16	3135647.72	70.04	0.10	40	10

HEU:	4688272.98	4688272.98	0.0008	0.20	10	2
DFS:	4680993.49	4680993.49	0.0005	0.20	10	2
GRB:	4680993.49	4680993.49	2.12	0.20	10	2

HEU:	2547957.00	2547957.00	0.0007	0.20	10	3
DFS:	1946579.67	1946579.67	0.0007	0.20	10	3
GRB:	1946579.67	1946579.67	4.29	0.20	10	3

HEU:	1712022.64	1712022.64	0.0007	0.20	10	4
DFS:	1578457.03	1578457.03	0.0007	0.20	10	4
GRB:	1578457.03	1578449.46	5.66	0.20	10	4

HEU:	1551073.90	1551073.90	0.0006	0.20	10	5
DFS:	1525765.22	1525765.22	0.0006	0.20	10	5
GRB:	1525765.22	1525765.22	5.50	0.20	10	5

HEU:	1525966.49	1525966.49	0.0007	0.20	10	6
DFS:	1519486.69	1519486.69	0.0007	0.20	10	6
GRB:	1519496.93	1519483.36	6.34	0.20	10	6

HEU:	1521053.90	1521053.90	0.0005	0.20	10	7
DFS:	1518541.36	1518541.36	0.0006	0.20	10	7
GRB:	1518553.11	1518539.53	6.83	0.20	10	7

HEU:	1520337.86	1520337.86	0.0006	0.20	10	8
DFS:	1518416.06	1518416.06	0.0007	0.20	10	8
GRB:	1518389.21	1518375.64	7.07	0.20	10	8

HEU:	1520240.16	1520240.16	0.0008	0.20	10	9
DFS:	1518397.63	1518397.63	0.0008	0.20	10	9
GRB:	1518388.24	1518374.67	7.10	0.20	10	9

HEU:	1520219.50	1520219.50	0.0006	0.20	10	10
DFS:	1518395.28	1518395.28	0.0009	0.20	10	10
GRB:	1518388.98	1518375.40	7.32	0.20	10	10

HEU:	5094165.57	5094165.57	0.0008	0.20	20	2
DFS:	4985136.54	4985136.54	0.0006	0.20	20	2
GRB:	4985136.54	4985136.54	4.24	0.20	20	2

HEU:	2444003.06	2444003.06	0.0006	0.20	20	3
DFS:	2355514.33	2355514.33	0.0006	0.20	20	3
GRB:	2355514.33	2355514.17	8.41	0.20	20	3

HEU:	2101479.43	2101479.43	0.0007	0.20	20	4
DFS:	2000839.16	2000839.16	0.0008	0.20	20	4
GRB:	2000839.16	2000822.52	10.16	0.20	20	4

HEU:	1972412.17	1972412.17	0.0009	0.20	20	5
DFS:	1952091.00	1952091.00	0.0008	0.20	20	5
GRB:	1952091.00	1952091.00	11.10	0.20	20	5

HEU:	1949177.49	1949177.49	0.0007	0.20	20	6
DFS:	1945406.13	1945406.13	0.0008	0.20	20	6
GRB:	1945413.53	1945397.28	13.31	0.20	20	6

HEU:	1946063.19	1946063.19	0.0007	0.20	20	7
DFS:	1944483.43	1944483.43	0.0011	0.20	20	7
GRB:	1944491.31	1944474.80	14.28	0.20	20	7

