iter:54, best-ub:2463960.04, best-lb:1810350.82, gap:26.5268%, time:0.14, ub:5663638.45, lb:1808027.93
iter:55, best-ub:2463960.04, best-lb:1810350.82, gap:26.5268%, time:0.15, ub:2597335.69, lb:1705445.37
iter:56, best-ub:2463960.04, best-lb:1810350.82, gap:26.5268%, time:0.15, ub:3775446.28, lb:1791441.81
iter:57, best-ub:2463960.04, best-lb:1810350.82, gap:26.5268%, time:0.15, ub:3100983.68, lb:1767646.26
iter:58, best-ub:2463960.04, best-lb:1810350.82, gap:26.5268%, time:0.16, ub:2997836.98, lb:1775524.55
iter:59, best-ub:2463960.04, best-lb:1810350.82, gap:26.5268%, time:0.16, ub:3551510.33, lb:1804040.59
iter:60, best-ub:2463960.04, best-lb:1810350.82, gap:26.5268%, time:0.16, ub:4816066.16, lb:1793021.46
iter:61, best-ub:2463960.04, best-lb:1810350.82, gap:26.5268%, time:0.16, ub:2636341.86, lb:1791494.09
iter:62, best-ub:2463960.04, best-lb:1840354.38, gap:25.3091%, time:0.17, ub:2717746.45, lb:1840354.38
iter:63, best-ub:2463960.04, best-lb:1840354.38, gap:25.3091%, time:0.17, ub:4379969.14, lb:1789988.57
iter:64, best-ub:2463960.04, best-lb:1840354.38, gap:25.3091%, time:0.17, ub:2919981.01, lb:1802043.48
iter:65, best-ub:2463960.04, best-lb:1855755.68, gap:24.6840%, time:0.17, ub:4361800.98, lb:1855755.68
iter:66, best-ub:2463960.04, best-lb:1855755.68, gap:24.6840%, time:0.18, ub:2981999.56, lb:1722386.08
iter:67, best-ub:2463960.04, best-lb:1855755.68, gap:24.6840%, time:0.18, ub:3967520.27, lb:1838731.51
iter:68, best-ub:2463960.04, best-lb:1855755.68, gap:24.6840%, time:0.18, ub:3369021.91, lb:1763947.42
iter:69, best-ub:2463960.04, best-lb:1855755.68, gap:24.6840%, time:0.19, ub:2903951.85, lb:1760059.55
iter:70, best-ub:2395531.20, best-lb:1855755.68, gap:22.5326%, time:0.19, ub:2395531.20, lb:1839187.59
iter:71, best-ub:2395531.20, best-lb:1859444.91, gap:22.3786%, time:0.19, ub:4026728.89, lb:1859444.91
iter:72, best-ub:2395531.20, best-lb:1859444.91, gap:22.3786%, time:0.19, ub:3298106.80, lb:1795995.15
iter:73, best-ub:2395531.20, best-lb:1877362.33, gap:21.6306%, time:0.20, ub:6275524.25, lb:1877362.33
iter:74, best-ub:2395531.20, best-lb:1877362.33, gap:21.6306%, time:0.20, ub:3133306.76, lb:1762674.58
iter:75, best-ub:2395531.20, best-lb:1877362.33, gap:21.6306%, time:0.20, ub:4301093.27, lb:1870970.19
iter:76, best-ub:2395531.20, best-lb:1877362.33, gap:21.6306%, time:0.20, ub:2709384.93, lb:1789424.56
iter:77, best-ub:2395531.20, best-lb:1877362.33, gap:21.6306%, time:0.21, ub:2619034.45, lb:1857081.24
iter:78, best-ub:2395531.20, best-lb:1883623.94, gap:21.3693%, time:0.21, ub:3142997.57, lb:1883623.94
iter:79, best-ub:2395531.20, best-lb:1883623.94, gap:21.3693%, time:0.21, ub:3051835.83, lb:1828854.88
iter:80, best-ub:2395531.20, best-lb:1883623.94, gap:21.3693%, time:0.22, ub:2913252.32, lb:1872629.82
iter:81, best-ub:2395531.20, best-lb:1883623.94, gap:21.3693%, time:0.22, ub:2807122.96, lb:1816288.29
iter:82, best-ub:2395531.20, best-lb:1897813.83, gap:20.7769%, time:0.22, ub:3585214.69, lb:1897813.83
iter:83, best-ub:2395531.20, best-lb:1897813.83, gap:20.7769%, time:0.22, ub:2572114.11, lb:1817458.69
iter:84, best-ub:2395531.20, best-lb:1897813.83, gap:20.7769%, time:0.23, ub:2794705.21, lb:1869926.45
iter:85, best-ub:2395531.20, best-lb:1897813.83, gap:20.7769%, time:0.23, ub:2691749.94, lb:1891927.60
iter:86, best-ub:2395531.20, best-lb:1897813.83, gap:20.7769%, time:0.23, ub:2454650.05, lb:1854390.50
iter:87, best-ub:2395531.20, best-lb:1897813.83, gap:20.7769%, time:0.23, ub:2930452.18, lb:1817682.48
iter:88, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.24, ub:4624193.32, lb:1910219.00
iter:89, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.24, ub:2807967.98, lb:1779733.07
iter:90, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.24, ub:2626782.93, lb:1889451.42
iter:91, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.24, ub:3103594.17, lb:1828143.52
iter:92, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.25, ub:3316815.14, lb:1866267.28
iter:93, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.25, ub:3202966.96, lb:1860416.27
iter:94, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.25, ub:3138260.87, lb:1824221.17
iter:95, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.25, ub:3952723.70, lb:1895739.80
iter:96, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.26, ub:2916744.59, lb:1856138.49
iter:97, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.26, ub:3452279.43, lb:1872849.08
iter:98, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.26, ub:2650045.17, lb:1830434.62
iter:99, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.26, ub:4003139.24, lb:1868247.46
iter:100, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.27, ub:2492585.49, lb:1890124.19
iter:101, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.27, ub:2807341.35, lb:1865641.80
iter:102, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.27, ub:3088042.57, lb:1902245.87
iter:103, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.28, ub:2576283.62, lb:1851828.95
iter:104, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.28, ub:2597589.15, lb:1896491.85
iter:105, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.28, ub:4221920.92, lb:1856893.22
iter:106, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.28, ub:2623046.08, lb:1904658.38
iter:107, best-ub:2395531.20, best-lb:1910219.00, gap:20.2591%, time:0.29, ub:3225051.62, lb:1880166.36
iter:108, best-ub:2395531.20, best-lb:1929314.36, gap:19.4619%, time:0.29, ub:3373725.73, lb:1929314.36
iter:109, best-ub:2290918.76, best-lb:1849774.65, gap:19.2562%, time:0.30, ub:2290918.76, lb:1849774.65
iter:110, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.31, ub:2954574.47, lb:1930786.24
iter:111, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.31, ub:2703859.82, lb:1908752.36
iter:112, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.32, ub:3280508.64, lb:1906050.14
iter:113, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.33, ub:2897274.34, lb:1918946.31
iter:114, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.33, ub:3503430.60, lb:1928251.29
iter:115, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.34, ub:2485355.70, lb:1897492.56
iter:116, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.35, ub:3254103.99, lb:1928586.61
iter:117, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.36, ub:2365589.85, lb:1898674.17
iter:118, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.36, ub:2846860.51, lb:1920811.28
iter:119, best-ub:2290918.76, best-lb:1930786.24, gap:15.7200%, time:0.37, ub:3046736.13, lb:1910465.09
iter:120, best-ub:2290918.76, best-lb:1938715.82, gap:15.3739%, time:0.38, ub:3596663.59, lb:1938715.82
iter:121, best-ub:2290918.76, best-lb:1938715.82, gap:15.3739%, time:0.38, ub:2412423.71, lb:1937370.85
iter:122, best-ub:2290918.76, best-lb:1938715.82, gap:15.3739%, time:0.39, ub:3190095.21, lb:1930460.69
iter:123, best-ub:2290918.76, best-lb:1938715.82, gap:15.3739%, time:0.40, ub:2488583.76, lb:1865434.17
iter:124, best-ub:2290918.76, best-lb:1938715.82, gap:15.3739%, time:0.40, ub:3226482.35, lb:1907895.30
iter:125, best-ub:2290918.76, best-lb:1941773.88, gap:15.2404%, time:0.41, ub:2866633.41, lb:1941773.88
iter:126, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.42, ub:3602191.09, lb:1950044.75
iter:127, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.43, ub:2554811.54, lb:1911584.34
iter:128, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.44, ub:3771995.95, lb:1941498.61
iter:129, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.44, ub:2487982.85, lb:1891735.38
iter:130, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.45, ub:5116525.60, lb:1940358.15
iter:131, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.46, ub:2390075.37, lb:1883013.80
iter:132, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.47, ub:2572114.19, lb:1929740.47
iter:133, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.47, ub:3409422.80, lb:1943496.55
iter:134, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.48, ub:3814241.50, lb:1944598.65
iter:135, best-ub:2290918.76, best-lb:1950044.75, gap:14.8794%, time:0.49, ub:2640671.06, lb:1937055.77
iter:136, best-ub:2290918.76, best-lb:1950896.45, gap:14.8422%, time:0.50, ub:3258241.53, lb:1950896.45
iter:137, best-ub:2290918.76, best-lb:1950896.45, gap:14.8422%, time:0.51, ub:2753989.13, lb:1932903.51
iter:138, best-ub:2290918.76, best-lb:1950896.45, gap:14.8422%, time:0.51, ub:2934681.95, lb:1908278.07
iter:139, best-ub:2290918.76, best-lb:1950896.45, gap:14.8422%, time:0.52, ub:3099323.19, lb:1939400.61
iter:140, best-ub:2290918.76, best-lb:1950896.45, gap:14.8422%, time:0.53, ub:2720883.68, lb:1928559.08
iter:141, best-ub:2290918.76, best-lb:1953752.77, gap:14.7175%, time:0.54, ub:3369681.40, lb:1953752.77
iter:142, best-ub:2290918.76, best-lb:1953752.77, gap:14.7175%, time:0.55, ub:3007943.38, lb:1932062.57
iter:143, best-ub:2290918.76, best-lb:1953752.77, gap:14.7175%, time:0.55, ub:2775853.57, lb:1942798.50
iter:144, best-ub:2290918.76, best-lb:1953752.77, gap:14.7175%, time:0.56, ub:2623051.69, lb:1946872.77
iter:145, best-ub:2290918.76, best-lb:1963433.14, gap:14.2949%, time:0.57, ub:3019858.95, lb:1963433.14
iter:146, best-ub:2290918.76, best-lb:1963433.14, gap:14.2949%, time:0.57, ub:2427722.78, lb:1882346.66
iter:147, best-ub:2290918.76, best-lb:1964492.93, gap:14.2487%, time:0.58, ub:3448422.28, lb:1964492.93
iter:148, best-ub:2290918.76, best-lb:1970941.61, gap:13.9672%, time:0.59, ub:2944351.69, lb:1970941.61
iter:149, best-ub:2290918.76, best-lb:1970941.61, gap:13.9672%, time:0.60, ub:3237260.97, lb:1966051.10
iter:150, best-ub:2290918.76, best-lb:1970941.61, gap:13.9672%, time:0.60, ub:2346552.25, lb:1914576.28
iter:151, best-ub:2290918.76, best-lb:1970941.61, gap:13.9672%, time:0.61, ub:2675141.26, lb:1949504.06
iter:152, best-ub:2290918.76, best-lb:1973775.12, gap:13.8435%, time:0.62, ub:2801114.72, lb:1973775.12
iter:153, best-ub:2290918.76, best-lb:1973775.12, gap:13.8435%, time:0.62, ub:2588411.16, lb:1957855.25
iter:154, best-ub:2290918.76, best-lb:1973775.12, gap:13.8435%, time:0.63, ub:2852072.75, lb:1944551.94
iter:155, best-ub:2290918.76, best-lb:1973775.12, gap:13.8435%, time:0.64, ub:2881501.25, lb:1971158.62
iter:156, best-ub:2290918.76, best-lb:1973775.12, gap:13.8435%, time:0.65, ub:2723541.33, lb:1927370.62
iter:157, best-ub:2290918.76, best-lb:1973775.12, gap:13.8435%, time:0.66, ub:2790395.31, lb:1960886.60
iter:158, best-ub:2290918.76, best-lb:1973775.12, gap:13.8435%, time:0.67, ub:2550027.77, lb:1955294.93
iter:159, best-ub:2290918.76, best-lb:1991619.40, gap:13.0646%, time:0.68, ub:3040074.43, lb:1991619.40
iter:160, best-ub:2290918.76, best-lb:1991619.40, gap:13.0646%, time:0.68, ub:3005811.55, lb:1958497.28
iter:161, best-ub:2290918.76, best-lb:2003315.75, gap:12.5540%, time:0.69, ub:3199692.87, lb:2003315.75
iter:162, best-ub:2290918.76, best-lb:2003315.75, gap:12.5540%, time:0.70, ub:2974281.35, lb:1986422.54
iter:163, best-ub:2290918.76, best-lb:2003315.75, gap:12.5540%, time:0.71, ub:2469307.00, lb:1983724.81
iter:164, best-ub:2258023.05, best-lb:2003315.75, gap:11.2801%, time:0.72, ub:2258023.05, lb:1934535.93
iter:165, best-ub:2258023.05, best-lb:2003315.75, gap:11.2801%, time:0.73, ub:3945734.52, lb:1998167.33
iter:166, best-ub:2247858.83, best-lb:2003315.75, gap:10.8789%, time:0.73, ub:2247858.83, lb:1934422.72
iter:167, best-ub:2247858.83, best-lb:2003315.75, gap:10.8789%, time:0.74, ub:2697549.83, lb:1969359.77
iter:168, best-ub:2247858.83, best-lb:2003315.75, gap:10.8789%, time:0.75, ub:2515876.03, lb:1989299.93
iter:169, best-ub:2247858.83, best-lb:2009491.48, gap:10.6042%, time:0.76, ub:2795227.20, lb:2009491.48
iter:170, best-ub:2247858.83, best-lb:2009491.48, gap:10.6042%, time:0.76, ub:2381695.67, lb:1998194.05
iter:171, best-ub:2247858.83, best-lb:2018004.74, gap:10.2255%, time:0.77, ub:9827495.75, lb:2018004.74
iter:172, best-ub:2247858.83, best-lb:2018004.74, gap:10.2255%, time:0.78, ub:2644865.05, lb:1946868.84
iter:173, best-ub:2247858.83, best-lb:2018004.74, gap:10.2255%, time:0.79, ub:3403132.23, lb:2008099.64
iter:174, best-ub:2247858.83, best-lb:2018004.74, gap:10.2255%, time:0.80, ub:2252077.59, lb:1979968.50
iter:175, best-ub:2247858.83, best-lb:2018004.74, gap:10.2255%, time:0.81, ub:2938829.73, lb:2005994.26
iter:176, best-ub:2181044.58, best-lb:2018004.74, gap:7.4753%, time:0.81, ub:2181044.58, lb:1956077.07
iter:177, best-ub:2181044.58, best-lb:2035175.19, gap:6.6881%, time:0.82, ub:4330509.50, lb:2035175.19
iter:178, best-ub:2181044.58, best-lb:2035175.19, gap:6.6881%, time:0.83, ub:2505544.60, lb:2013067.94
iter:179, best-ub:2181044.58, best-lb:2035175.19, gap:6.6881%, time:0.84, ub:2964347.44, lb:2016004.54
iter:180, best-ub:2181044.58, best-lb:2035175.19, gap:6.6881%, time:0.85, ub:3062060.18, lb:2029202.05
iter:181, best-ub:2181044.58, best-lb:2035175.19, gap:6.6881%, time:0.86, ub:3856794.02, lb:1995369.81
iter:182, best-ub:2181044.58, best-lb:2035175.19, gap:6.6881%, time:0.86, ub:3116191.73, lb:2012732.47
iter:183, best-ub:2181044.58, best-lb:2035175.19, gap:6.6881%, time:0.87, ub:2490029.82, lb:2002324.48
iter:184, best-ub:2181044.58, best-lb:2040757.23, gap:6.4321%, time:0.88, ub:3153133.69, lb:2040757.23
iter:185, best-ub:2181044.58, best-lb:2040757.23, gap:6.4321%, time:0.89, ub:2940194.79, lb:2028228.08
iter:186, best-ub:2181044.58, best-lb:2048763.38, gap:6.0650%, time:0.90, ub:3044723.40, lb:2048763.38
iter:187, best-ub:2181044.58, best-lb:2048763.38, gap:6.0650%, time:0.91, ub:2283886.94, lb:2020713.93
iter:188, best-ub:2181044.58, best-lb:2048763.38, gap:6.0650%, time:0.92, ub:3946120.05, lb:2044690.63
iter:189, best-ub:2181044.58, best-lb:2048763.38, gap:6.0650%, time:0.92, ub:2345592.15, lb:2002639.25
iter:190, best-ub:2181044.58, best-lb:2048763.38, gap:6.0650%, time:0.93, ub:2747045.92, lb:2041552.49
iter:191, best-ub:2181044.58, best-lb:2048763.38, gap:6.0650%, time:0.94, ub:2922872.69, lb:2033173.70
iter:192, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:0.95, ub:4010312.92, lb:2052838.12
iter:193, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:0.96, ub:2515545.87, lb:2004996.67
iter:194, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:0.96, ub:2907130.00, lb:2033146.57
iter:195, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:0.97, ub:2922872.69, lb:2043356.95
iter:196, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:0.98, ub:3619718.01, lb:2052362.26
iter:197, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:0.99, ub:2922872.69, lb:2010536.16
iter:198, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:1.00, ub:2385506.33, lb:2033568.35
iter:199, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:1.01, ub:2922872.69, lb:2023289.73
iter:200, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:1.02, ub:2907879.32, lb:2045137.47
iter:201, best-ub:2181044.58, best-lb:2052838.12, gap:5.8782%, time:1.03, ub:2436886.72, lb:2046793.31
iter:202, best-ub:2181044.58, best-lb:2054484.42, gap:5.8027%, time:1.03, ub:3156837.71, lb:2054484.42
iter:203, best-ub:2181044.58, best-lb:2054484.42, gap:5.8027%, time:1.04, ub:2288599.51, lb:2036801.45
iter:204, best-ub:2181044.58, best-lb:2063526.75, gap:5.3881%, time:1.05, ub:4197536.60, lb:2063526.75
iter:205, best-ub:2181044.58, best-lb:2063526.75, gap:5.3881%, time:1.06, ub:2716194.72, lb:2035352.21
iter:206, best-ub:2181044.58, best-lb:2063526.75, gap:5.3881%, time:1.07, ub:3245536.15, lb:2053126.69
iter:207, best-ub:2181044.58, best-lb:2063526.75, gap:5.3881%, time:1.08, ub:2334831.72, lb:2053935.70
iter:208, best-ub:2181044.58, best-lb:2063526.75, gap:5.3881%, time:1.09, ub:7473332.52, lb:2060813.15
iter:209, best-ub:2181044.58, best-lb:2063526.75, gap:5.3881%, time:1.10, ub:2270300.07, lb:1994571.31
iter:210, best-ub:2181044.58, best-lb:2063526.75, gap:5.3881%, time:1.10, ub:2486443.03, lb:2040457.68
iter:211, best-ub:2181044.58, best-lb:2067946.50, gap:5.1855%, time:1.11, ub:4281845.91, lb:2067946.50
