DFS:	74091.10	74091.10	0.0037	0.20	1	7
GRB:	74091.03	74091.03	288.12	0.20	1	7

HEU:	74033.23	74033.23	0.0006	0.20	1	8
DFS:	73959.27	73959.27	0.0075	0.20	1	8
GRB:	73943.76	73943.76	248.10	0.20	1	8

HEU:	74013.56	74013.56	0.0006	0.20	1	9
DFS:	73941.16	73941.16	0.0195	0.20	1	9
GRB:	73936.64	73936.38	278.98	0.20	1	9

HEU:	74010.90	74010.90	0.0010	0.20	1	10
DFS:	73938.68	73938.68	0.0678	0.20	1	10
GRB:	73936.47	73935.76	311.06	0.20	1	10

HEU:	3427611.75	3427611.75	0.0003	0.20	2	2
DFS:	3297990.49	3297990.49	0.0009	0.20	2	2
GRB:	3297990.49	3297990.49	20.21	0.20	2	2

HEU:	693534.12	693534.12	0.0003	0.20	2	3
DFS:	666412.48	666412.48	0.0014	0.20	2	3
GRB:	666412.48	666412.48	34.91	0.20	2	3

HEU:	360987.90	360987.90	0.0004	0.20	2	4
DFS:	356701.30	356701.30	0.0035	0.20	2	4
GRB:	356701.30	356701.30	210.22	0.20	2	4

HEU:	338760.76	338760.76	0.0004	0.20	2	5
DFS:	334265.11	334265.11	0.0075	0.20	2	5
GRB:	334265.11	334265.11	143.99	0.20	2	5

HEU:	338760.76	338760.76	0.0004	0.20	2	6
DFS:	334265.11	334265.11	0.0084	0.20	2	6
GRB:	334265.11	334265.11	139.02	0.20	2	6

HEU:	338760.76	338760.76	0.0005	0.20	2	7
DFS:	334265.11	334265.11	0.0096	0.20	2	7
GRB:	334265.11	334265.11	134.83	0.20	2	7

HEU:	338760.76	338760.76	0.0005	0.20	2	8
DFS:	334265.11	334265.11	0.0087	0.20	2	8
GRB:	334265.11	334264.07	135.35	0.20	2	8

HEU:	338760.76	338760.76	0.0004	0.20	2	9
DFS:	334265.11	334265.11	0.0086	0.20	2	9
GRB:	334265.11	334265.11	135.12	0.20	2	9

HEU:	338760.76	338760.76	0.0004	0.20	2	10
DFS:	334265.11	334265.11	0.0085	0.20	2	10
GRB:	334265.11	334265.11	132.77	0.20	2	10

HEU:	4748735.73	4748735.73	0.0003	0.20	3	2
DFS:	4643757.79	4643757.79	0.0004	0.20	3	2
GRB:	4643757.79	4643757.79	20.23	0.20	3	2

HEU:	2454110.49	2454110.49	0.0003	0.20	3	3
DFS:	2444464.63	2444464.63	0.0007	0.20	3	3
GRB:	2444464.63	2444464.63	14.71	0.20	3	3

HEU:	2318998.23	2318998.23	0.0004	0.20	3	4
DFS:	2294633.28	2294633.28	0.0011	0.20	3	4
GRB:	2294633.28	2294633.28	14.57	0.20	3	4

HEU:	2314385.20	2314385.20	0.0004	0.20	3	5
